Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
             20	         6	00100080	0040006f	jal	x0,100084	  x0=0x00000000
             22	         7	00100084	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
             24	         8	00100088	00000113	addi	x2,x0,0	  x0:0x00000000  x2=0x00000000
             26	         9	0010008c	00000193	addi	x3,x0,0	  x0:0x00000000  x3=0x00000000
             28	        10	00100090	00000213	addi	x4,x0,0	  x0:0x00000000  x4=0x00000000
             30	        11	00100094	00000293	addi	x5,x0,0	  x0:0x00000000  x5=0x00000000
             32	        12	00100098	00000313	addi	x6,x0,0	  x0:0x00000000  x6=0x00000000
             34	        13	0010009c	00000393	addi	x7,x0,0	  x0:0x00000000  x7=0x00000000
             36	        14	001000a0	00000413	addi	x8,x0,0	  x0:0x00000000  x8=0x00000000
             38	        15	001000a4	00000493	addi	x9,x0,0	  x0:0x00000000  x9=0x00000000
             40	        16	001000a8	00000513	addi	x10,x0,0	  x0:0x00000000 x10=0x00000000
             42	        17	001000ac	00000593	addi	x11,x0,0	  x0:0x00000000 x11=0x00000000
             44	        18	001000b0	00000613	addi	x12,x0,0	  x0:0x00000000 x12=0x00000000
             46	        19	001000b4	00000693	addi	x13,x0,0	  x0:0x00000000 x13=0x00000000
             48	        20	001000b8	00000713	addi	x14,x0,0	  x0:0x00000000 x14=0x00000000
             50	        21	001000bc	00000793	addi	x15,x0,0	  x0:0x00000000 x15=0x00000000
             52	        22	001000c0	00000813	addi	x16,x0,0	  x0:0x00000000 x16=0x00000000
             54	        23	001000c4	00000893	addi	x17,x0,0	  x0:0x00000000 x17=0x00000000
             56	        24	001000c8	00000913	addi	x18,x0,0	  x0:0x00000000 x18=0x00000000
             58	        25	001000cc	00000993	addi	x19,x0,0	  x0:0x00000000 x19=0x00000000
             60	        26	001000d0	00000a13	addi	x20,x0,0	  x0:0x00000000 x20=0x00000000
             62	        27	001000d4	00000a93	addi	x21,x0,0	  x0:0x00000000 x21=0x00000000
             64	        28	001000d8	00000b13	addi	x22,x0,0	  x0:0x00000000 x22=0x00000000
             66	        29	001000dc	00000b93	addi	x23,x0,0	  x0:0x00000000 x23=0x00000000
             68	        30	001000e0	00000c13	addi	x24,x0,0	  x0:0x00000000 x24=0x00000000
             70	        31	001000e4	00000c93	addi	x25,x0,0	  x0:0x00000000 x25=0x00000000
             72	        32	001000e8	00000d13	addi	x26,x0,0	  x0:0x00000000 x26=0x00000000
             74	        33	001000ec	00000d93	addi	x27,x0,0	  x0:0x00000000 x27=0x00000000
             76	        34	001000f0	00000e13	addi	x28,x0,0	  x0:0x00000000 x28=0x00000000
             78	        35	001000f4	00000e93	addi	x29,x0,0	  x0:0x00000000 x29=0x00000000
             80	        36	001000f8	00000f13	addi	x30,x0,0	  x0:0x00000000 x30=0x00000000
             82	        37	001000fc	00000f93	addi	x31,x0,0	  x0:0x00000000 x31=0x00000000
             84	        38	00100100	00001197	auipc	x3,0x1	  x3=0x00101100
             86	        39	00100104	c6818193	addi	x3,x3,-920	  x3:0x00101100  x3=0x00100d68
             88	        40	00100108	00001117	auipc	x2,0x1	  x2=0x00101108
             90	        41	0010010c	d1810113	addi	x2,x2,-744	  x2:0x00101108  x2=0x00100e20
             92	        42	00100110	88018293	addi	x5,x3,-1920	  x3:0x00100d68  x5=0x001005e8
             94	        43	00100114	00000317	auipc	x6,0x0	  x6=0x00100114
             96	        44	00100118	50c30313	addi	x6,x6,1292	  x6:0x00100114  x6=0x00100620
             98	        45	0010011c	0062f863	bgeu	x5,x6,10012c	  x5:0x001005e8  x6:0x00100620
            102	        47	00100120	0002a023	sw	x0,0(x5)	  x5:0x001005e8  x0:0x00000000 PA:0x001005e8 store:0x00000000
            104	        48	00100124	00428293	addi	x5,x5,4	  x5:0x001005e8  x5=0x001005ec
            108	        50	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x001005ec  x6:0x00100620
            114	        53	00100120	0002a023	sw	x0,0(x5)	  x5:0x001005ec  x0:0x00000000 PA:0x001005ec store:0x00000000
            116	        54	00100124	00428293	addi	x5,x5,4	  x5:0x001005ec  x5=0x001005f0
            120	        56	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x001005f0  x6:0x00100620
            126	        59	00100120	0002a023	sw	x0,0(x5)	  x5:0x001005f0  x0:0x00000000 PA:0x001005f0 store:0x00000000
            128	        60	00100124	00428293	addi	x5,x5,4	  x5:0x001005f0  x5=0x001005f4
            132	        62	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x001005f4  x6:0x00100620
            138	        65	00100120	0002a023	sw	x0,0(x5)	  x5:0x001005f4  x0:0x00000000 PA:0x001005f4 store:0x00000000
            140	        66	00100124	00428293	addi	x5,x5,4	  x5:0x001005f4  x5=0x001005f8
            144	        68	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x001005f8  x6:0x00100620
            150	        71	00100120	0002a023	sw	x0,0(x5)	  x5:0x001005f8  x0:0x00000000 PA:0x001005f8 store:0x00000000
            152	        72	00100124	00428293	addi	x5,x5,4	  x5:0x001005f8  x5=0x001005fc
            156	        74	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x001005fc  x6:0x00100620
            162	        77	00100120	0002a023	sw	x0,0(x5)	  x5:0x001005fc  x0:0x00000000 PA:0x001005fc store:0x00000000
            164	        78	00100124	00428293	addi	x5,x5,4	  x5:0x001005fc  x5=0x00100600
            168	        80	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100600  x6:0x00100620
            174	        83	00100120	0002a023	sw	x0,0(x5)	  x5:0x00100600  x0:0x00000000 PA:0x00100600 store:0x00000000
            176	        84	00100124	00428293	addi	x5,x5,4	  x5:0x00100600  x5=0x00100604
            180	        86	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100604  x6:0x00100620
            186	        89	00100120	0002a023	sw	x0,0(x5)	  x5:0x00100604  x0:0x00000000 PA:0x00100604 store:0x00000000
            188	        90	00100124	00428293	addi	x5,x5,4	  x5:0x00100604  x5=0x00100608
            192	        92	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100608  x6:0x00100620
            198	        95	00100120	0002a023	sw	x0,0(x5)	  x5:0x00100608  x0:0x00000000 PA:0x00100608 store:0x00000000
            200	        96	00100124	00428293	addi	x5,x5,4	  x5:0x00100608  x5=0x0010060c
            204	        98	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x0010060c  x6:0x00100620
            210	       101	00100120	0002a023	sw	x0,0(x5)	  x5:0x0010060c  x0:0x00000000 PA:0x0010060c store:0x00000000
            212	       102	00100124	00428293	addi	x5,x5,4	  x5:0x0010060c  x5=0x00100610
            216	       104	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100610  x6:0x00100620
            222	       107	00100120	0002a023	sw	x0,0(x5)	  x5:0x00100610  x0:0x00000000 PA:0x00100610 store:0x00000000
            224	       108	00100124	00428293	addi	x5,x5,4	  x5:0x00100610  x5=0x00100614
            228	       110	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100614  x6:0x00100620
            234	       113	00100120	0002a023	sw	x0,0(x5)	  x5:0x00100614  x0:0x00000000 PA:0x00100614 store:0x00000000
            236	       114	00100124	00428293	addi	x5,x5,4	  x5:0x00100614  x5=0x00100618
            240	       116	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100618  x6:0x00100620
            246	       119	00100120	0002a023	sw	x0,0(x5)	  x5:0x00100618  x0:0x00000000 PA:0x00100618 store:0x00000000
            248	       120	00100124	00428293	addi	x5,x5,4	  x5:0x00100618  x5=0x0010061c
            252	       122	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x0010061c  x6:0x00100620
            258	       125	00100120	0002a023	sw	x0,0(x5)	  x5:0x0010061c  x0:0x00000000 PA:0x0010061c store:0x00000000
            260	       126	00100124	00428293	addi	x5,x5,4	  x5:0x0010061c  x5=0x00100620
            262	       127	00100128	fe62ece3	bltu	x5,x6,100120	  x5:0x00100620  x6:0x00100620
            266	       129	0010012c	2029	c.jal	100136	  x1=0x0010012e
            270	       131	00100136	be010113	addi	x2,x2,-1056	  x2:0x00100e20  x2=0x00100a00
            272	       132	0010013a	4505	c.li	x10,1	 x10=0x00000001
            276	       134	0010013c	40112e23	sw	x1,1052(x2)	  x2:0x00100a00  x1:0x0010012e PA:0x00100e1c store:0x0010012e
            280	       136	00100140	40812c23	sw	x8,1048(x2)	  x2:0x00100a00  x8:0x00000000 PA:0x00100e18 store:0x00000000
            284	       138	00100144	2245	c.jal	1002e4	  x1=0x00100146
