# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: acoustic-results-template.csv
# anchored to: 1115 micro speaker @1W/10cm 92+/-3 dB; MEMS SNR >=65 dB; receiver SPL 80 dB; leak <1 mL/min
sample_id,measurement_id,unit,min,max,measured_value,pass,operator,notes
EVT1-2026-05-12-0001,bottom_speaker_spl_1khz_db,dB SPL,72.0,,91.4,true,Sun Min (QC-FA-02),1115 speaker @1W/10cm; 92+/-3 dB target.
EVT1-2026-05-12-0001,bottom_speaker_impedance_ohm,ohm,4.0,12.0,8.1,true,Sun Min (QC-FA-02),DC + AP525 sweep.
EVT1-2026-05-12-0001,bottom_speaker_leak_delta_db,dB,0.0,3.0,0.8,true,Sun Min (QC-FA-02),Masked/unmasked at 1 kHz.
EVT1-2026-05-12-0001,bottom_mic_snr_db,dB,65.0,,67.2,true,Sun Min (QC-FA-02),MEMS through molded port + mesh.
EVT1-2026-05-12-0001,top_mic_snr_db,dB,65.0,,68.5,true,Sun Min (QC-FA-02),Noise-cancel MEMS.
EVT1-2026-05-12-0001,earpiece_spl_1khz_db,dB SPL,70.0,,80.4,true,Sun Min (QC-FA-02),Behind-glass receiver @1m equivalent.
EVT1-2026-05-12-0001,earpiece_leak_delta_db,dB,0.0,3.0,1.1,true,Sun Min (QC-FA-02),Receiver gasket.
EVT1-2026-05-12-0001,acoustic_leak_rate_ml_per_min,mL/min,0.0,1.0,0.42,true,Sun Min (QC-FA-02),Pressure decay leak test.
EVT1-2026-05-12-0002,bottom_speaker_spl_1khz_db,dB SPL,72.0,,90.8,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0002,bottom_speaker_leak_delta_db,dB,0.0,3.0,0.7,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0002,bottom_mic_snr_db,dB,65.0,,66.9,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0002,top_mic_snr_db,dB,65.0,,67.4,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0002,earpiece_spl_1khz_db,dB SPL,70.0,,81.1,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0002,acoustic_leak_rate_ml_per_min,mL/min,0.0,1.0,0.55,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0003,bottom_speaker_spl_1khz_db,dB SPL,72.0,,92.1,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0003,bottom_mic_snr_db,dB,65.0,,67.8,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0003,earpiece_spl_1khz_db,dB SPL,70.0,,79.8,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0003,acoustic_leak_rate_ml_per_min,mL/min,0.0,1.0,0.38,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0004,bottom_speaker_spl_1khz_db,dB SPL,72.0,,91.2,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0004,bottom_mic_snr_db,dB,65.0,,66.5,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0004,earpiece_spl_1khz_db,dB SPL,70.0,,80.9,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0005,bottom_speaker_spl_1khz_db,dB SPL,72.0,,90.6,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0005,top_mic_snr_db,dB,65.0,,68.1,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0005,earpiece_leak_delta_db,dB,0.0,3.0,1.3,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0006,bottom_speaker_spl_1khz_db,dB SPL,72.0,,91.7,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0007,bottom_speaker_spl_1khz_db,dB SPL,72.0,,89.9,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0008,bottom_speaker_spl_1khz_db,dB SPL,72.0,,92.4,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0009,bottom_speaker_spl_1khz_db,dB SPL,72.0,,90.5,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0010,bottom_speaker_spl_1khz_db,dB SPL,72.0,,91.0,true,Sun Min (QC-FA-02),
EVT1-2026-05-12-0010,acoustic_leak_rate_ml_per_min,mL/min,0.0,1.0,0.49,true,Sun Min (QC-FA-02),
