# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: camera-results-template.csv
# anchored to: OV13855 rear 13MP AF; OV5675 front fixed; MTF50 center >0.4 cy/px; corner >0.25; dE<3
sample_id,measurement_id,camera,unit,min,max,measured_value,pass,operator,notes
EVT1-2026-05-12-0001,rear_camera_lens_center_error_mm,rear_OV13855,mm,0.0,0.25,0.06,true,Zhao Qiang (S4-OP-03),Optical center vs cover window.
EVT1-2026-05-12-0001,front_camera_under_glass_center_error_mm,front_OV5675,mm,0.0,0.3,0.04,true,Zhao Qiang (S4-OP-03),Under-glass aperture.
EVT1-2026-05-12-0001,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.46,true,Zhao Qiang (S4-OP-03),SFR center.
EVT1-2026-05-12-0001,rear_camera_mtf50_corner_cy_per_px,rear_OV13855,cy/px,0.25,,0.28,true,Zhao Qiang (S4-OP-03),Worst-corner.
EVT1-2026-05-12-0001,front_camera_mtf50_center_cy_per_px,front_OV5675,cy/px,0.40,,0.43,true,Zhao Qiang (S4-OP-03),Through cover glass.
EVT1-2026-05-12-0001,front_camera_mtf50_corner_cy_per_px,front_OV5675,cy/px,0.25,,0.27,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0001,rear_camera_axis_alignment_deg,rear_OV13855,deg,0.0,0.3,0.12,true,Zhao Qiang (S4-OP-03),Tilt vs window normal.
EVT1-2026-05-12-0001,front_camera_axis_alignment_deg,front_OV5675,deg,0.0,0.3,0.18,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0001,front_cover_glass_color_delta_e,front_OV5675,deltaE,0.0,3.0,1.4,true,Zhao Qiang (S4-OP-03),X-Rite i1 target.
EVT1-2026-05-12-0001,rear_cover_glass_color_delta_e,rear_OV13855,deltaE,0.0,3.0,1.1,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0001,rear_camera_dust_count_gt_30um,rear_OV13855,count,0.0,2.0,0,true,Zhao Qiang (S4-OP-03),Flat-field f/2.0.
EVT1-2026-05-12-0001,front_camera_dust_count_gt_30um,front_OV5675,count,0.0,2.0,0,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0001,camera_streaming_bringup_logs,both,pass_flag,1.0,1.0,1,true,Zhao Qiang (S4-OP-03),MIPI CSI-2 stream.
EVT1-2026-05-12-0002,rear_camera_lens_center_error_mm,rear_OV13855,mm,0.0,0.25,0.08,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0002,front_camera_under_glass_center_error_mm,front_OV5675,mm,0.0,0.3,0.05,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0002,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.45,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0002,rear_camera_dust_count_gt_30um,rear_OV13855,count,0.0,2.0,1,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0003,rear_camera_lens_center_error_mm,rear_OV13855,mm,0.0,0.25,0.07,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0003,rear_camera_mtf50_corner_cy_per_px,rear_OV13855,cy/px,0.25,,0.26,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0003,front_camera_under_glass_center_error_mm,front_OV5675,mm,0.0,0.3,0.06,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0004,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.44,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0004,front_camera_mtf50_center_cy_per_px,front_OV5675,cy/px,0.40,,0.42,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0005,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.47,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0006,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.45,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0007,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.43,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0008,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.46,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0009,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.44,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0010,rear_camera_mtf50_center_cy_per_px,rear_OV13855,cy/px,0.40,,0.45,true,Zhao Qiang (S4-OP-03),
EVT1-2026-05-12-0010,front_camera_mtf50_center_cy_per_px,front_OV5675,cy/px,0.40,,0.43,true,Zhao Qiang (S4-OP-03),
