# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: display-results-template.csv
# anchored to: CH550FH01A-CT 5.5in MIPI LCD; bond shear >25 N/mm; luminance 450 nit min; FPC R=1.0mm
sample_id,measurement_id,unit,min,max,measured_value,pass,operator,notes
EVT1-2026-05-12-0001,display_bond_peel_n_per_mm,N/mm,0.45,,0.62,true,Chen Min (S2-OP-07),3M 9415PC die-cut perimeter.
EVT1-2026-05-12-0001,display_bond_shear_strength_n_per_mm,N/mm,25.0,,28.7,true,Chen Min (S2-OP-07),Bond shear test.
EVT1-2026-05-12-0001,screen_adhesive_compression_mm,mm,0.03,0.08,0.046,true,Chen Min (S2-OP-07),0.18mm tape -> 0.135mm.
EVT1-2026-05-12-0001,display_fpc_bend_radius_mm,mm,1.0,,1.05,true,Chen Min (S2-OP-07),Bend at R1.0mm per datasheet.
EVT1-2026-05-12-0001,display_luminance_cd_m2,cd/m2,450.0,,484,true,Chen Min (S2-OP-07),Konica CS-150 white screen.
EVT1-2026-05-12-0001,touch_grid_dead_zones,count,0.0,0.0,0,true,Chen Min (S2-OP-07),Cap grid 100% pass.
EVT1-2026-05-12-0001,touch_grid_linearity_px,px,0.0,2.0,1.2,true,Chen Min (S2-OP-07),Linearity <2px target.
EVT1-2026-05-12-0001,display_dsi_bringup_logs,pass_flag,1.0,1.0,1,true,Chen Min (S2-OP-07),Panel init sequence ok.
EVT1-2026-05-12-0001,screen_drop_lift_or_glass_crack,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),Post 1m drop face-up.
EVT1-2026-05-12-0001,fpc_bend_cycles_100k_failures,count,0.0,0.0,0,true,Chen Min (S2-OP-07),Dynamic bend 100k at R=1.0mm.
EVT1-2026-05-12-0002,display_bond_shear_strength_n_per_mm,N/mm,25.0,,27.4,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0002,screen_adhesive_compression_mm,mm,0.03,0.08,0.048,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0002,display_luminance_cd_m2,cd/m2,450.0,,478,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0002,touch_grid_dead_zones,count,0.0,0.0,0,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0003,display_bond_shear_strength_n_per_mm,N/mm,25.0,,29.1,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0003,display_luminance_cd_m2,cd/m2,450.0,,491,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0003,touch_grid_linearity_px,px,0.0,2.0,1.0,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0004,display_bond_shear_strength_n_per_mm,N/mm,25.0,,28.2,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0004,display_luminance_cd_m2,cd/m2,450.0,,471,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0005,display_bond_shear_strength_n_per_mm,N/mm,25.0,,26.9,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0005,display_luminance_cd_m2,cd/m2,450.0,,486,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0006,display_luminance_cd_m2,cd/m2,450.0,,479,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0007,display_luminance_cd_m2,cd/m2,450.0,,482,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0008,display_luminance_cd_m2,cd/m2,450.0,,488,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0009,display_luminance_cd_m2,cd/m2,450.0,,475,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0010,display_luminance_cd_m2,cd/m2,450.0,,480,true,Chen Min (S2-OP-07),
EVT1-2026-05-12-0010,touch_grid_dead_zones,count,0.0,0.0,0,true,Chen Min (S2-OP-07),
