# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: environmental-results-template.csv
# anchored to: Quectel RG255C RedCap (10 bands); IP54 IEC 60529; ESD IEC 61000-4-2 +/-8kV/+/-15kV; 1.0m drop
sample_id,measurement_id,domain,unit,min,max,measured_value,pass,operator,notes
EVT1-2026-05-12-0001,soc_surface_temp_full_load_c,thermal,C,,45.0,42.8,true,Yang Lei (S6-OP-05),Quectel RG255C + display + camera full load 30min @25C ambient.
EVT1-2026-05-12-0001,max_skin_temp_video_call_c,thermal,C,,43.0,41.2,true,Yang Lei (S6-OP-05),Worst-case video call thermal soak.
EVT1-2026-05-12-0001,soc_shield_can_peak_temp_c,thermal,C,,85.0,72.4,true,Yang Lei (S6-OP-05),Peak shield can temp.
EVT1-2026-05-12-0001,cellular_band_n5_tis_dbm,rf,dBm,,-92.0,-96.4,true,Wang Hao (S3-OP-12),RedCap NR n5 TIS pre-cert.
EVT1-2026-05-12-0001,cellular_band_n8_tis_dbm,rf,dBm,,-92.0,-95.1,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n3_tis_dbm,rf,dBm,,-92.0,-94.8,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n1_tis_dbm,rf,dBm,,-92.0,-95.7,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n7_tis_dbm,rf,dBm,,-92.0,-94.3,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n28_tis_dbm,rf,dBm,,-92.0,-95.9,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n20_tis_dbm,rf,dBm,,-92.0,-94.6,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n40_tis_dbm,rf,dBm,,-92.0,-93.8,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n41_tis_dbm,rf,dBm,,-92.0,-94.2,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_band_n78_tis_dbm,rf,dBm,,-92.0,-93.5,true,Wang Hao (S3-OP-12),
EVT1-2026-05-12-0001,cellular_desense_delta_db,rf,dB,,3.0,1.8,true,Wang Hao (S3-OP-12),Subsystems active.
EVT1-2026-05-12-0001,wifi_bt_desense_delta_db,rf,dB,,3.0,2.1,true,Wang Hao (S3-OP-12),Murata Type 2EA.
EVT1-2026-05-12-0001,sar_prescan_w_per_kg_1g,rf,W/kg,,1.6,1.18,true,Wang Hao (S3-OP-12),US general pop pre-scan.
EVT1-2026-05-12-0001,esd_contact_8kv_failures,esd,count,0.0,0.0,0,true,Wang Hao (S3-OP-12),IEC 61000-4-2 +/-8kV contact.
EVT1-2026-05-12-0001,esd_air_15kv_failures,esd,count,0.0,0.0,0,true,Wang Hao (S3-OP-12),+/-15kV air.
EVT1-2026-05-12-0001,drop_1m_face_down_failures,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),1.0m face-down drop.
EVT1-2026-05-12-0001,drop_1m_face_up_failures,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),
EVT1-2026-05-12-0001,drop_1m_edge_long_failures,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),
EVT1-2026-05-12-0001,drop_1m_edge_short_failures,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),
EVT1-2026-05-12-0001,drop_1m_corner_tl_failures,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),
EVT1-2026-05-12-0001,drop_1m_corner_br_failures,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),
EVT1-2026-05-12-0001,drop_1m_crack_or_latch_release,drop,count,0.0,0.0,0,true,Yang Lei (S6-OP-05),Shell/snap/screen intact.
EVT1-2026-05-12-0001,ip54_dust_ingress_functional_failures,ingress,count,0.0,0.0,0,true,Wang Hao (S3-OP-12),IEC 60529 IP5X dust 8h.
EVT1-2026-05-12-0001,ip54_splash_ingress_functional_failures,ingress,count,0.0,0.0,0,true,Wang Hao (S3-OP-12),IPx4 splash 10 min.
