sample_id,measurement_id,fixture,units,min,max,nominal,measured,pass,operator,evidence_class,required_evidence_artifacts,raw_data_artifact,fixture_calibration_certificate,photo_or_log_artifact,lot_traceability_record,notes
,power_button_actuation_force,evt_fixture_button_force_probe,N,1.2,2.2,1.57,,,,,power_button_force_raw_csv;load_cell_calibration_certificate;power_button_probe_photo_or_video;side_button_and_enclosure_lot_records,,,,,Load-cell press normal to cap center until tactile event.
,power_button_travel,evt_fixture_button_force_probe,mm,0.15,0.3,0.2,,,,,power_button_travel_raw_csv;dial_indicator_calibration_certificate;power_button_travel_probe_photo;side_button_and_enclosure_lot_records,,,,,Dial indicator travel from cap free height to tactile event.
,volume_button_actuation_force,evt_fixture_button_force_probe,N,1.2,2.2,1.57,,,,,volume_button_force_raw_csv;load_cell_calibration_certificate;volume_button_probe_photo_or_video;side_button_and_enclosure_lot_records,,,,,Load-cell press at volume cap center and both cap ends.
,usb_c_insertion_force_no_rub,evt_fixture_usb_c_insertion_gauge,N,0.0,35.0,,,,,,usb_c_insertion_force_raw_csv;usb_insertion_fixture_calibration_certificate;usb_c_insertion_gauge_video_or_photo;usb_receptacle_and_enclosure_lot_records,,,,,Insert USB-C gauge/plug along port axis and record peak insertion force and aperture rub.
,screen_adhesive_compression,evt_fixture_screen_bond_clamp_frame,mm,0.03,0.08,0.045,,,,,screen_compression_witness_raw_csv;screen_clamp_fixture_calibration_certificate;screen_bond_witness_photo;display_adhesive_and_enclosure_lot_records,,,,,Measure bond-line compression witness after clamp cure cycle.
,display_fpc_bend_radius,evt_fixture_screen_bond_clamp_frame,mm,1.0,,1.0,,,,,display_fpc_bend_radius_raw_csv;optical_measurement_fixture_calibration_certificate;connected_display_fpc_photo;display_module_and_connector_lot_records,,,,,Inspect FPC bend path after screen placement and board connection.
,rear_camera_lens_center_error,evt_fixture_rear_camera_alignment_pin,mm,0.0,0.25,0.0,,,,,rear_camera_alignment_raw_csv;camera_alignment_fixture_calibration_certificate;rear_camera_alignment_pin_photo;rear_camera_module_and_cover_glass_lot_records,,,,,Insert rear lens datum pin and measure radial offset to camera cover window.
,front_camera_under_glass_center_error,evt_fixture_front_camera_alignment_pin,mm,0.0,0.3,0.0,,,,,front_camera_alignment_raw_csv;camera_alignment_fixture_calibration_certificate;front_under_glass_alignment_pin_photo;front_camera_module_and_cover_glass_lot_records,,,,,Inspect under-glass aperture alignment through cover glass.
,bottom_audio_leak_delta,evt_fixture_bottom_acoustic_leak_mask,dB,0.0,3.0,0.0,,,,,bottom_audio_leak_raw_sweep_csv;acoustic_leak_fixture_calibration_certificate;bottom_audio_leak_mask_photo;speaker_microphone_mesh_and_enclosure_lot_records,,,,,Compare masked/unmasked bottom speaker and mic path leakage at fixed tone.
,handset_receiver_leak_delta,evt_fixture_earpiece_leak_mask,dB,0.0,3.0,0.0,,,,,handset_leak_raw_sweep_csv;acoustic_leak_fixture_calibration_certificate;earpiece_leak_mask_photo;receiver_gasket_and_enclosure_lot_records,,,,,Compare masked/unmasked receiver leakage around handset gasket.
