part_revision,sample_id,characteristic_id,feature,control,datum_reference,nominal,plus_tolerance_mm,minus_tolerance_mm,minimum_mm,measured_value,pass,inspector,evidence_class,required_evidence_artifacts,raw_measurement_artifact,inspection_equipment_calibration_certificate,inspection_photo_or_scan,lot_traceability_record,notes
evt0-mechanical-cad-bonded-display-thinned,,CRIT-001,cover_glass_perimeter,profile to datum B/C,B/C,per CAD,0.25,0.25,,,,,,fai_cmm_or_optical_raw_report;inspection_equipment_calibration_certificate;feature_inspection_photo_or_scan;part_revision_tooling_and_resin_lot_records,,,,,CMM or optical comparator against released STEP/drawing
evt0-mechanical-cad-bonded-display-thinned,,CRIT-002,usb_c_port_aperture,position to datum B/C,B/C,per CAD,0.15,0.15,,,,,,fai_cmm_or_optical_raw_report;inspection_equipment_calibration_certificate;feature_inspection_photo_or_scan;part_revision_tooling_and_resin_lot_records,,,,,CMM or optical comparator against released STEP/drawing
evt0-mechanical-cad-bonded-display-thinned,,CRIT-003,side_button_plunger_faces,position to side rail and travel stop,see control,per CAD,0.2,0.2,,,,,,fai_cmm_or_optical_raw_report;inspection_equipment_calibration_certificate;feature_inspection_photo_or_scan;part_revision_tooling_and_resin_lot_records,,,,,CMM or optical comparator against released STEP/drawing
evt0-mechanical-cad-bonded-display-thinned,,CRIT-004,rear_camera_cover_glass_window,position to datum D,D,per CAD,0.15,0.15,,,,,,fai_cmm_or_optical_raw_report;inspection_equipment_calibration_certificate;feature_inspection_photo_or_scan;part_revision_tooling_and_resin_lot_records,,,,,CMM or optical comparator against released STEP/drawing
evt0-mechanical-cad-bonded-display-thinned,,CRIT-005,screw_boss_core_pins,position to rear shell datum pattern,pattern,per CAD,0.2,0.2,,,,,,fai_cmm_or_optical_raw_report;inspection_equipment_calibration_certificate;feature_inspection_photo_or_scan;part_revision_tooling_and_resin_lot_records,,,,,CMM or optical comparator against released STEP/drawing
evt0-mechanical-cad-bonded-display-thinned,,STACK-006,cover_glass_to_orange_rail_x,minimum clearance to datum B,B,0.45,,,0.3,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-007,cover_glass_to_orange_rail_y,minimum clearance to datum C,C,0.915,,,0.3,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-008,display_tft_under_cover_glass,minimum clearance to datum A,A,3.16,,,0.5,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-009,display_fpc_bend_radius,minimum clearance to datum A,A,1.0,,,1.0,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-010,usb_shell_to_aperture,minimum clearance to datum C,C,0.175,,,0.15,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-011,pcb_edge_to_enclosure,minimum clearance to datum B,B,7.0,,,2.5,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-012,rear_camera_lens_to_cover_glass,minimum clearance to datum D,D,1.2,,,0.8,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
evt0-mechanical-cad-bonded-display-thinned,,STACK-013,nominal_z_stack_margin,minimum clearance to datum A,A,3.32,,,1.0,,,,,fai_stack_measurement_raw_report;inspection_fixture_or_cmm_calibration_certificate;assembly_stack_inspection_photo;part_revision_tooling_and_resin_lot_records,,,,,FAI measurement using fixture/CMM after supplier STEP lock
