# evidence_class: simulated_first_article_for_evt_planning_not_production_release
# companion_to: unit-traceability-results-template.csv
unit_serial,build_id,mfg_date,station_traveler_id,photo_path,display_lot,rear_camera_lot,front_camera_lot,usb_c_lot,battery_lot,speaker_lot,receiver_lot,mic_lot,button_lot,pcb_lot,orange_resin_lot,adhesive_lot,reviewer,accepted,notes
EVT1-2026-05-12-0001,EVT1-2026-05-12,2026-05-12,TR-EVT1-001,review/photos/EVT1-0001.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,2D code scanned; ERP MES sync.
EVT1-2026-05-12-0002,EVT1-2026-05-12,2026-05-12,TR-EVT1-002,review/photos/EVT1-0002.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0003,EVT1-2026-05-12,2026-05-12,TR-EVT1-003,review/photos/EVT1-0003.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0004,EVT1-2026-05-12,2026-05-12,TR-EVT1-004,review/photos/EVT1-0004.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0005,EVT1-2026-05-12,2026-05-12,TR-EVT1-005,review/photos/EVT1-0005.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0006,EVT1-2026-05-12,2026-05-12,TR-EVT1-006,review/photos/EVT1-0006.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0007,EVT1-2026-05-12,2026-05-12,TR-EVT1-007,review/photos/EVT1-0007.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0008,EVT1-2026-05-12,2026-05-12,TR-EVT1-008,review/photos/EVT1-0008.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0009,EVT1-2026-05-12,2026-05-12,TR-EVT1-009,review/photos/EVT1-0009.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-12-0010,EVT1-2026-05-12,2026-05-12,TR-EVT1-010,review/photos/EVT1-0010.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L01,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0011,EVT1-2026-05-13,2026-05-13,TR-EVT1-011,review/photos/EVT1-0011.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0012,EVT1-2026-05-13,2026-05-13,TR-EVT1-012,review/photos/EVT1-0012.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0013,EVT1-2026-05-13,2026-05-13,TR-EVT1-013,review/photos/EVT1-0013.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
EVT1-2026-05-13-0014,EVT1-2026-05-13,2026-05-13,TR-EVT1-014,review/photos/EVT1-0014.png,CH-CTP-rB-260501,OV-13855-260428,OV-5675-260428,GCT-USB4105-260415,LP446487-260420,SPK-1115-260418,RX-1206-260418,MIC-MEMS-260418,EVQ-P7-260410,YYT-PCB-260425,PCABS-ORG-PNT165C-L02,3M-9415PC-LOT88,Sun Min (QC-FA-02),true,
