# e1_demo bonding map rev 0.1 - generated from package/e1-demo-pinout.yaml
# Columns: die_pad, package_pin, board_net, type, notes
die_pad,package_pin,board_net,type,notes
VDDIO0,1,+3V3,PWR,IO 3.3V domain
VSSIO0,2,GND,GND,IO ground; double-bond to paddle
VDDCORE0,3,+1V8,PWR,Core 1.8V domain
VSSCORE0,4,GND,GND,Core ground
CLK_IN,5,OSC_CLK,IO,Clock input pad; low-jitter buffer
RST_N,6,RESET_N,IO,Schmitt input; active-low; weak pull-up
DBG_VALID,7,MCU_DBG_VALID,IO,Digital input; pull-down
DBG_WRITE,8,MCU_DBG_WRITE,IO,Digital input; pull-down
DBG_ADDR0,9,MCU_DBG_ADDR0,IO,Digital input; pull-down
DBG_ADDR1,10,MCU_DBG_ADDR1,IO,Digital input; pull-down
DBG_ADDR2,11,MCU_DBG_ADDR2,IO,Digital input; pull-down
DBG_ADDR3,12,MCU_DBG_ADDR3,IO,Digital input; pull-down
DBG_WDATA0,13,MCU_DBG_WDATA0,IO,Digital input; pull-down
DBG_WDATA1,14,MCU_DBG_WDATA1,IO,Digital input; pull-down
DBG_WDATA2,15,MCU_DBG_WDATA2,IO,Digital input; pull-down
DBG_WDATA3,16,MCU_DBG_WDATA3,IO,Digital input; pull-down
DBG_RDATA0,17,MCU_DBG_RDATA0,IO,Digital output 4mA
DBG_RDATA1,18,MCU_DBG_RDATA1,IO,Digital output 4mA
DBG_RDATA2,19,MCU_DBG_RDATA2,IO,Digital output 4mA
DBG_RDATA3,20,MCU_DBG_RDATA3,IO,Digital output 4mA
DBG_READY,21,MCU_DBG_READY,IO,Digital output 4mA
IRQ_TIMER,22,TP_IRQ_TIMER,IO,Digital output 4mA; test point
IRQ_DMA,23,TP_IRQ_DMA,IO,Digital output 4mA; test point
IRQ_NPU,24,TP_IRQ_NPU,IO,Digital output 4mA; test point
IRQ_VSYNC,25,TP_IRQ_VSYNC,IO,Digital output 4mA; test point
GPIO0,26,LED0,IO,Digital output 8mA; slew-controlled
GPIO1,27,LED1,IO,Digital output 8mA; slew-controlled
GPIO2,28,LED2,IO,Digital output 8mA; slew-controlled
GPIO3,29,LED3,IO,Digital output 8mA; slew-controlled
GPIO4,30,LED4,IO,Digital output 8mA; slew-controlled
GPIO5,31,LED5,IO,Digital output 8mA; slew-controlled
GPIO6,32,LED6,IO,Digital output 8mA; slew-controlled
GPIO7,33,LED7,IO,Digital output 8mA; slew-controlled
TEST_MODE,34,TEST_MODE,IO,Digital input; pull-down
JTAG_TCK,35,JTAG_TCK,IO,Digital input; pull-down
JTAG_TMS,36,JTAG_TMS,IO,Digital input; pull-up
JTAG_TDI,37,JTAG_TDI,IO,Digital input; pull-up
JTAG_TDO,38,JTAG_TDO,IO,Digital output 4mA
DBG_LAUNCH,39,MCU_DBG_LAUNCH,IO,Digital input; pull-down
NC1,40,NC,RSV,No-connect; reserved
NC2,41,NC,RSV,No-connect; reserved
NC3,42,NC,RSV,No-connect; reserved
VDDIO1,43,+3V3,PWR,IO 3.3V domain
VSSIO1,44,GND,GND,IO ground
VDDCORE1,45,+1V8,PWR,Core 1.8V domain
VSSCORE1,46,GND,GND,Core ground
VDDIO2,47,+3V3,PWR,IO 3.3V domain
VSSIO2,48,GND,GND,IO ground
VDDCORE2,49,+1V8,PWR,Core 1.8V domain
VSSCORE2,50,GND,GND,Core ground
NC4,51,NC,RSV,No-connect; reserved
NC5,52,NC,RSV,No-connect; reserved
NC6,53,NC,RSV,No-connect; reserved
NC7,54,NC,RSV,No-connect; reserved
VDDIO3,55,+3V3,PWR,IO 3.3V domain
VSSIO3,56,GND,GND,IO ground
VDDCORE3,57,+1V8,PWR,Core 1.8V domain
VSSCORE3,58,GND,GND,Core ground
NC8,59,NC,RSV,No-connect; reserved
NC9,60,NC,RSV,No-connect; reserved
NC10,61,NC,RSV,No-connect; reserved
NC11,62,NC,RSV,No-connect; reserved
VDDIO4,63,+3V3,PWR,IO 3.3V domain
VSSIO4,64,GND,GND,IO ground; double-bond to paddle
